Livro;Capitulo;Vers¡culo;Página
Gênesis;1;1;1
Gênesis;1;2;1
Gênesis;1;3;1
Gênesis;1;4;1
Gênesis;1;5;1
Gênesis;1;6;1
Gênesis;1;7;1
Gênesis;1;8;2
Gênesis;1;9;2
Gênesis;1;10;2
Gênesis;1;11;2
Gênesis;1;12;2
Gênesis;1;13;2
Gênesis;1;14;2
Gênesis;1;15;3
Gênesis;1;16;3
Gênesis;1;17;3
Gênesis;1;18;3
Gênesis;1;19;3
Gênesis;1;20;3
Gênesis;1;21;3
Gênesis;1;22;3
Gênesis;1;23;3
Gênesis;1;24;4
Gênesis;1;25;4
Gênesis;1;26;4
Gênesis;1;27;4
Gênesis;1;28;4
Gênesis;1;29;4
Gênesis;1;30;4
Gênesis;1;31;5
Gênesis;2;1;5
Gênesis;2;2;5
Gênesis;2;3;5
Gênesis;2;4;5
Gênesis;2;5;6
Gênesis;2;6;6
Gênesis;2;7;6
Gênesis;2;8;6
Gênesis;2;9;6
Gênesis;2;10;6
Gênesis;2;11;6
Gênesis;2;12;6
Gênesis;2;13;7
Gênesis;2;14;7
Gênesis;2;15;7
Gênesis;2;16;7
Gênesis;2;17;7
Gênesis;2;18;7
Gênesis;2;19;7
Gênesis;2;20;7
Gênesis;2;21;8
Gênesis;2;22;8
Gênesis;2;23;8
Gênesis;2;24;8
Gênesis;2;25;8
Gênesis;3;1;8
Gênesis;3;2;9
Gênesis;3;3;9
Gênesis;3;4;9
Gênesis;3;5;9
Gênesis;3;6;9
Gênesis;3;7;9
Gênesis;3;8;9
Gênesis;3;9;10
Gênesis;3;10;10
Gênesis;3;11;10
Gênesis;3;12;10
Gênesis;3;13;10
Gênesis;3;14;10
Gênesis;3;15;10
Gênesis;3;16;11
Gênesis;3;17;11
Gênesis;3;18;11
Gênesis;3;19;11
Gênesis;3;20;11
Gênesis;3;21;11
Gênesis;3;22;11
Gênesis;3;23;12
Gênesis;3;24;12
